GlobalUnlock, RegCreateKeyExW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('ReadFile';),102,102,0
('GlobalReAlloc'; 'GetLongPathNameW'),132,132,0
('GetFileAttributesW'; 'LocalAlloc'),132,132,0
('HeapAlloc'; 'GetLongPathNameW'),132,132,0
('GetFileAttributesW'; 'GetFileAttributesW'),132,132,0
('HeapAlloc'; 'GetFullPathNameW'),134,134,0
('GetLongPathNameW'; 'RegSetValueExW'),132,132,0
('GetLongPathNameW'; 'HeapFree'),132,132,0
('RegSetValueExW'; 'GetLongPathNameW'),132,132,0
('IsBadStringPtrW'; 'GetLongPathNameW'),130,130,0
('IsBadWritePtr'; 'GetLongPathNameW'),132,132,0
('GetLongPathNameW'; 'GetCurrentThread'),132,132,0
('RegSetValueExW'; 'GetFullPathNameW'),133,133,0
('IsBadStringPtrW'; 'GetFullPathNameW'),132,132,0
('GetFileAttributesW'; 'LoadLibraryExW'),127,127,0
('GetFullPathNameW'; 'CreateProcessW'),131,131,0
('IsBadWritePtr'; 'GetFullPathNameW'),134,134,0
('GetLongPathNameW'; 'GetCurrentProcessId'),132,132,0
('GetFileAttributesW'; 'RegSetValueExW'),132,132,0
('GetFileAttributesW'; 'CreateProcessW'),132,132,0
('GetFullPathNameW'; 'GetCurrentProcessId'),134,134,0
('GetFileAttributesW'; 'HeapFree'),132,132,0
('GlobalFree'; 'GetFileAttributesW'),131,131,0
('GetFullPathNameW'; 'GetFullPathNameW'),131,131,0
('GetFileAttributesW'; 'GetCurrentThread'),132,132,0
('GetFileAttributesW'; 'GlobalFree'),131,131,0
('GetFileAttributesW'; 'GetLongPathNameW'),132,132,0
('GetFileAttributesW'; 'GetCurrentProcessId'),132,132,0
('GetFileAttributesW'; 'IsBadStringPtrW'),131,131,0
('GetFileAttributesW'; 'RegCloseKey'),132,132,0
('GetFileAttributesW'; 'GetFullPathNameW'),131,131,0
('GetLongPathNameW'; 'RegOpenKeyExW'),132,132,0
('GlobalReAlloc'; 'GetFileAttributesW'),132,132,0
('LoadLibraryExW'; 'GetLongPathNameW'),126,126,0
('GetFileAttributesW'; 'RegQueryValueExW'),132,132,0
('IsBadReadPtr'; 'GetFileAttributesW'),132,132,0
('GetFileAttributesW'; 'RegOpenKeyExW'),132,132,0
('GlobalFree'; 'GetLongPathNameW'),131,131,0
('RegSetValueExW'; 'RegEnumValueW'),162,133,29
('GlobalFree'; 'GetFullPathNameW'),130,130,0
('GetLongPathNameW'; 'GetCurrentThreadId'),132,132,0
('GetFileAttributesW'; 'LocalFree'),132,132,0
('GetFullPathNameW'; 'RegOpenKeyExA'),133,133,0
('RegQueryValueW'; 'GetFileAttributesW'),132,132,0
('GlobalLock'; 'GetFileAttributesW'),132,132,0
('LoadLibraryA'; 'GlobalFree'),109,67,42
('GetFileAttributesW'; 'GetCurrentThreadId'),132,132,0
('GlobalReAlloc'; 'GetFullPathNameW'),134,134,0
('GetFileAttributesW'; 'RegEnumValueW'),132,132,0
('IsBadReadPtr'; 'GetLongPathNameW'),132,132,0
